id,login,BordaCount,12MonthActivityNum,Authority,FollowersNum,ForkedHindex,WatcherHindex,usrPageRankScore
2,"jmettraux",2027,1058,4796,1205,27,48,1018
4,"kennethkalmer",6427,1055,15450,1412,27,52,5283
5,"weppos",5876,898,8702,1276,26,51,10315
7,"hasimo",9952,1068,14301,1472,31,59,19156
10,"mcollina",525,670,1026,558,25,31,710
14,"nanounanue",6989,1061,3656,1464,31,58,19036
27,"jimweirich",317,1080,510,342,25,42,227
28,"funkaster",17424,1077,52775,1463,28,52,7076
30,"minggo",2645,770,1903,1223,29,58,6147
31,"cocos2d",679,1078,478,849,16,41,1107
32,"dumganhar",7742,841,10639,1381,27,56,15100
33,"dualface",3039,1062,6257,982,30,51,2995
43,"walzer",2549,1077,4353,1133,30,57,3155
47,"l4u",14610,1067,14113,1454,28,55,35776
58,"hcilab",880,1060,489,768,32,59,1822
71,"markpasc",7609,1080,22152,1427,29,54,2766
78,"samuelclay",613,1046,921,557,29,54,732
79,"sclasen",9703,1036,14601,1479,27,51,17999
84,"ryanbrainard",7453,1038,13600,1416,28,54,10792
92,"lstoll",4510,1004,9550,1364,28,53,4483
93,"mbbx6spp",3653,1033,7759,1264,29,52,3305
102,"luislavena",2120,1020,5352,1220,28,52,783
109,"jfirebaugh",3173,402,4809,1238,28,52,5273
112,"jkammerl",5945,1078,1641,1221,30,57,17493
113,"kou",6418,910,13271,1343,31,57,7639
118,"bytefish",1479,1032,1386,1050,28,52,2837
129,"tenderlove",59,1003,71,69,23,34,52
136,"gpjt",16853,1068,53076,1459,29,56,4676
143,"timfel",7300,1001,19509,1417,29,54,4401
150,"myabc",5220,1009,11303,1382,30,55,5248
158,"karelzak",17174,1076,20966,1485,29,57,37997
161,"macmade",6620,1027,14853,1323,26,47,6711
166,"powmedia",16158,1077,36761,1443,26,51,18526
173,"tijsverkoyen",15857,1038,38107,1453,27,54,16153
184,"xdissent",6338,1057,16465,1384,26,47,3978
186,"Bronsa",12729,1074,34199,1441,30,56,9079
189,"hmason",284,1080,500,213,26,52,231
191,"6a68",12814,798,20628,1470,30,57,23224
